"cntrl1_4h","cntr12_4h","cntrl3_4h","treat1_4h","treat2_4h","treat3_4h","cntrl1_24h","cntrl2_24h","cntrl3_24h","treat1_24h","treat2_24h","treat3_24h"
"Tcas000006",143.083740534384,130.218082289973,140.817798292757,141.679519995097,130.818055289877,127.049336194288,149.153941855757,122.235620326307,106.527346217288,181.305961070303,138.672720417236,129.401939968938
"Tcas000022",8.50982135958298,7.67692809940885,7.65898330409078,7.53614468059028,6.18734045289958,7.47349036436987,10.871834636545,10.2640597220563,7.86120476603478,12.7928780317245,12.9900236887192,9.81780887824031
"Tcas000034",9.30143264884651,8.11147119937539,10.0776096106458,8.47816276566407,8.39710490036372,9.60877332561841,9.53669704960085,7.83800924229753,8.50293576734374,10.5872094055651,10.2907979871671,7.5645412668409
"Tcas000015",6.33289031410827,10.7187297991746,11.0181865076394,8.10135553163455,10.4595517179969,7.77853078740538,9.15522916761682,11.197156060425,9.14466676865271,8.60210764202166,8.4350803173501,9.81780887824031
"Tcas000014",25.9252697233807,25.9277382980035,20.4239554775754,30.7097895734054,23.4235031431198,21.5053498240031,25.3676141519383,26.1266974743251,22.7814505464681,35.2906980185504,27.8357650472553,31.8676419326489
"Tcas000007",3.36434797937002,3.33149709974347,5.10598886939385,5.2753012764132,4.71416415459016,5.03316698008583,2.2888072919042,4.66548169184377,4.01081875818101,1.98510176354346,3.88013694598105,4.3455875362703
"Tcas000009",4.94757055789708,5.9387556995427,9.13703271365216,5.08689765939844,5.74538756340675,6.55836909526336,4.57761458380841,5.97181656556002,6.09644451243514,6.83757274109414,18.3884750918232,16.41666402591
"Tcas000031",220.067938415262,243.633831381239,223.31982897191,246.431931055302,216.262280591823,166.094510342833,212.286876324115,249.136722344457,210.648201179667,189.687501849708,209.527395082977,222.2687550959
"Tcas000003",62.5372918518191,58.2287753955162,56.972086332184,64.8108442530764,54.8021582971106,52.3144325505891,58.5553198845492,66.2498400241815,60.0018486223879,53.3771807530575,62.7569975610848,68.0808714015681
"Tcas000011",20.1860878762201,19.1198963985277,21.498900502711,20.3475906375938,13.7005395742776,20.2851881318611,22.315871096066,18.6619267673751,17.0058715346875,16.9836484214274,15.1831445712302,18.5089839507809
"Tcas000019",50.4652196905502,52.1451719959847,50.2536799250869,52.3762055301025,35.798184048919,27.4536380731955,72.6696315179585,65.5033629534865,54.5471351112618,74.3310327015718,70.5172714530468,67.2761329689254
"Tcas000029",4.15595926863355,3.76604019971,5.24035699753579,4.71009042536893,9.42832830918031,8.23609142195864,2.86100911488026,2.42605047975876,4.65254975948997,4.19077038970286,8.4350803173501,6.11601208808413
"Tcas000021",14.6448088513754,3.91088789969885,29.0235156786598,7.72454829760504,47.2889591757325,31.8767242072103,0.190733940992017,6.90491290392878,20.2145265412323,0,4.55494337136905,2.736110670985
"Tcas000002",1.58322257852707,2.60725859979923,5.50909325381968,2.44924702119184,4.27221126509733,4.27056592249707,0,1.49295414139001,1.76476025359964,0,2.02441927616402,1.44852917875677
"Tcas000013",138.729878443434,17.5265716986504,245.356201987189,94.2018085073785,379.342896814677,291.618644421943,3.81467881984034,66.2498400241815,165.566598337712,0.44113372523188,84.688206386195,42.6511369300604
"Tcas000032",4.7496677355812,0.724238499944232,9.00266458551021,2.26084340417709,15.6156687620799,9.76129353713616,0,1.49295414139001,14.4389475294516,0.22056686261594,13.6648301141072,7.08169820725531
"Tcas000010",57.3918184716062,50.8415426960851,60.4656576638746,55.9558742533829,49.9406765126895,54.9072761463909,71.7159618129984,72.9681336604365,68.9860826407134,74.1104658389559,94.9790043733621,94.4762919922469
"Tcas000033",23.748338677906,24.0447181981485,24.8581037062595,25.4344882969922,21.3610563254866,23.6406327852516,25.3676141519383,22.5809313885238,21.8188540445047,26.0268897886809,24.2930313139683,20.1184608160662
